source,ref_text,doi
T001_W0_DIRECT__qwen3-14b.txt,"The reliability of large language models (LLMs) in generating scholarly citations for academic writing has become a subject of increasing interest within the research community. Several studies have examined how well LLMs can identify, format, and contextualize academic references, revealing mixed results. On one hand, LLMs demonstrate strong capabilities in understanding citation styles and generating syntactically correct references [1]. However, their accuracy in retrieving and citing specific, relevant scholarly works remains questionable, as they often fabricate citations or provide outda",
T001_W0_DIRECT__qwen3-14b.txt,"Liu, Y., et al. (2023). ""Citation Generation with Large Language Models: A Comparative Study."" *Journal of Artificial Intelligence Research*, 68, 123–145. https://doi.org/10.1613/jair.12345",10.1613/jair.12345
T001_W0_DIRECT__qwen3-14b.txt,"Zhang, L., & Wang, H. (2022). ""When AI Writes Citations: A Critical Evaluation of Large Language Models in Academic Contexts."" *Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing*, 5432–5441. https://doi.org/10.18653/v1/2022.emnlp-main.512",10.18653/v1/2022.emnlp-main.512
T001_W0_DIRECT__qwen3-14b.txt,"Ribeiro, M. T., et al. (2021). ""Automating Academic Writing with AI: Opportunities and Challenges."" *IEEE Transactions on Learning Technologies*, 14(3), 301–312. https://doi.org/10.1109/TLT.2021.3072891",10.1109/TLT.2021.3072891
T001_W0_DIRECT__qwen3-14b.txt,"Holtzman, A., et al. (2021). ""The Curious Case of Neural Text Degeneration."" *Proceedings of the 6th International Conference on Learning Representations*, ICLR. https://openreview.net/forum?id=1lZx66NqyBF",
T001_W0_DIRECT__qwen3-14b.txt,"Chen, J., & Li, X. (2023). ""Enhancing Citation Accuracy in Large Language Models via Database Integration."" *Computational Linguistics*, 49(2), 345–378. https://doi.org/10.1162/coli_a_00456",10.1162/coli_a_00456
T001_W0_DIRECT__qwen3-14b.txt,"Smith, R., & Jones, T. (2022). ""AI as a Writing Assistant: A Survey of Current Practices in Citation Use."" *Academic Writing and AI*, 8(1), 45–67.",
T001_W0_DIRECT__qwen3-14b.txt,"Bostrom, N. (2020). ""The Ethics of AI in Scholarly Communication."" *AI Ethics Journal*, 3(4), 210–225. https://doi.org/10.1007/s41604-020-00123-4",10.1007/s41604-020-00123-4
T001_W0_DIRECT__qwen3-14b.txt,"Gupta, A., & Patel, D. (2021). ""Hallucinations in Large Language Models: A Study of Citation Generation."" *Proceedings of the 2021 Conference on Computational Natural Language Learning*, 112–121. https://doi.org/10.18653/v1/2021.conll-1.11",10.18653/v1/2021.conll-1.11
T001_W1_CAUTIOUS__qwen3-14b.txt,"The reliability of large language models (LLMs) in generating scholarly citations for academic writing has become a topic of increasing interest within the research community. Several studies have investigated the accuracy and credibility of citations produced by these models, revealing both strengths and limitations. For instance, LLMs have been found to generate plausible-looking citations that may be difficult to distinguish from authentic ones, raising concerns about their potential misuse in academic contexts [1]. However, their ability to produce well-formatted references based on user p",
T001_W1_CAUTIOUS__qwen3-14b.txt,"Borge-Holthoefer, J., & Dubois, C. (2023). ""AI-generated citations: A new frontier in academic integrity."" *Journal of Academic Ethics*, 21(2), 123–135. https://doi.org/10.1007/s10602-023-09983-1",10.1007/s10602-023-09983-1
T001_W1_CAUTIOUS__qwen3-14b.txt,"Etches, A., Stewart, C., & Smith, G. (2022). ""Automating the citation process with large language models."" *Proceedings of the Conference on Empirical Methods in Natural Language Processing (EMNLP)*, 5567–5578.",
T001_W1_CAUTIOUS__qwen3-14b.txt,"Liang, P., & Zhang, Y. (2023). ""Evaluating the accuracy of citations generated by large language models."" *Computers & Education*, 215, 104654. https://doi.org/10.1016/j.compedu.2023.104654",10.1016/j.compedu.2023.104654
T001_W1_CAUTIOUS__qwen3-14b.txt,"Thompson, K., & Williams, R. (2021). ""Plagiarism and AI: The challenges of citation generation in digital scholarship."" *Digital Scholarship in the Humanities*, 36(4), 1122–1138. https://doi.org/10.1093/dshum/dmaa067",10.1093/dshum/dmaa067
T001_W1_CAUTIOUS__qwen3-14b.txt,"Zhou, M., & Chen, L. (2024). ""Detecting AI-generated citations in academic texts."" *Scientometrics*, 130(1), 231–250. https://doi.org/10.1007/s11192-023-04899-3",10.1007/s11192-023-04899-3
T001_W1_CAUTIOUS__qwen3-14b.txt,"Hovy, E., & Lin, C. (2022). ""Citation assistance tools: A review of current capabilities and limitations."" *Artificial Intelligence in Society*, 37(3), 456–472. https://doi.org/10.1007/s10579-022-09561-6",10.1007/s10579-022-09561-6
T001_W1_CAUTIOUS__qwen3-14b.txt,"Sjøberg, A. M. (2023). ""The role of AI in academic writing: Opportunities and ethical challenges."" *Higher Education Research & Development*, 42(5), 890–905. https://doi.org/10.1080/07294360.2023.2201123",10.1080/07294360.2023.2201123
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Recent studies have explored the reliability of large language models (LLMs) in providing scholarly citations for academic writing. One key concern is whether these models can accurately identify and cite relevant academic sources, which is crucial for maintaining the integrity and credibility of research outputs. Research has shown that LLMs often struggle with retrieving precise and up-to-date citations, particularly when the query involves niche or rapidly evolving fields [1]. This issue arises from the static nature of the training data and the models' lack of real-time access to databases",
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Smith, J. (2023). *Challenges in Citation Generation by Large Language Models*. Journal of AI in Academia, 12(3), 45-60. https://doi.org/10.1234/jaiac.2023.012",10.1234/jaiac.2023.012
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Lee, H., & Kim, T. (2022). *Citation Accuracy in LLM-Based Academic Writing Tools*. Proceedings of the International Conference on Research Integrity, 89-102. https://doi.org/10.5678/icri.2022.008",10.5678/icri.2022.008
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Patel, R., & Gupta, S. (2024). *Contextual Relevance and Large Language Models: A Study in Citation Misalignment*. Computational Linguistics Review, 15(2), 112-129. https://doi.org/10.9876/clr.2024.015",10.9876/clr.2024.015
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Chen, L., & Wang, M. (2023). *Bias in Citation Practices of Large Language Models*. AI Ethics and Society, 7(1), 34-50. https://doi.org/10.1111/aieth.2023.007",10.1111/aieth.2023.007
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Brown, T., et al. (2022). *Evaluating the Use of Large Language Models in Scholarly Writing*. Nature Machine Intelligence, 4(5), 289-297. https://doi.org/10.1038/s42256-022-00456-1",10.1038/s42256-022-00456-1
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Zhang, Y., & Liu, X. (2023). *The Role of Training Data in the Citation Generation Ability of LLMs*. IEEE Transactions on Knowledge and Data Engineering, 35(8), 1678-1690. https://doi.org/10.1109/TKDE.2023.3287654",10.1109/TKDE.2023.3287654
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Johnson, A. (2024). *Reliability and Trustworthiness of AI-Generated Citations in Peer-Reviewed Research*. Science and Technology Studies, 37(4), 89-101.",
T001_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Williams, D. (2022). *Can AI Replace Human Scholars in Citation Practices? A Comparative Analysis*. Journal of Information Science, 48(6), 789-802. https://doi.org/10.1177/01655515221078901",10.1177/01655515221078901
T001_W3_VERIFY_REPAIR__qwen3-14b.txt,"The reliability of large language models (LLMs) in providing scholarly citations for academic writing has become a topic of increasing interest within the fields of natural language processing and academic publishing. Studies have shown that while LLMs can generate plausible citations, their accuracy varies significantly depending on the model's training data, the specific task, and the domain of the query [1]. Some research highlights that LLMs often fabricate references or misattribute sources, particularly when dealing with niche or recent topics that may not be well-represented in their tr",
