source,ref_text,doi,verify_source,verify_title,verify_year,doi_resolves,status
T001_W0_DIRECT__deepseek-chat.txt,"J. Maynez, S. Narayan, B. Bohnet, and R. McDonald, “On faithfulness and factuality in abstractive summarization,” in *Proceedings of the 58th Annual Meeting of the Association for Computational Lingui",10.18653/v1/2020.acl-main.173,crossref,On Faithfulness and Factuality in Abstractive Summarization,2020,,resolved
T001_W0_DIRECT__deepseek-chat.txt,"W. H. Walters and E. I. Wilder, “Fabrication and errors in the bibliographic citations generated by ChatGPT,” *Scientific Reports*, vol. 13, no. 1, art. 14045, 2023. DOI: 10.1038/s41598-023-41032-5.",10.1038/s41598-023-41032-5,crossref,Fabrication and errors in the bibliographic citations generated by ChatGPT,2023,,resolved
T001_W0_DIRECT__deepseek-chat.txt,"S. A. Athaluri, S. V. Manthena, V. S. R. K. Kesapragada, V. Yarlagadda, and S. S. K. K. Addepalli, “Exploring the boundaries of real reference generation by ChatGPT: A comprehensive analysis,” *Cureus",10.7759/cureus.37424,crossref,"The Efficacy and Safety of Dr. SKS Hair Booster Serum (a Cocktail of Micronutrients and Multivitamins) in Adult Males and Females With Androgenetic Alopecia: An Open-Label, Non-randomized, Prospective",2023,,resolved
T001_W0_DIRECT__deepseek-chat.txt,"A. McGowan, Y. Gui, M. Dobbs, S. Shuster, and M. Cotter, “ChatGPT and the law: A study of hallucinated legal citations,” *Journal of Legal Education*, vol. 72, no. 2, pp. 345–368, 2023. DOI: 10.31228/",10.31228/osf.io/5q8e2,unresolved,,,False,unresolved
T001_W0_DIRECT__deepseek-chat.txt,"J. Gravel, E. D. D’Amico, and C. B. Smith, “Accuracy of ChatGPT-generated citations in nursing literature,” *Journal of Nursing Scholarship*, vol. 56, no. 1, pp. 112–120, 2024. DOI: 10.1111/jnu.12935.",10.1111/jnu.12935,crossref,"The future of open access, open science, and research dissemination",2023,,resolved
T001_W0_DIRECT__deepseek-chat.txt,"L. Chen, M. Zaharia, and J. Zou, “How is ChatGPT’s behavior changing over time?” *arXiv preprint arXiv:2307.09009*, 2023. DOI: 10.48550/arXiv.2307.09009.",10.48550/arXiv.2307.09009,openalex,How is ChatGPT's behavior changing over time?,2023,,resolved
T001_W1_CAUTIOUS__deepseek-chat.txt,"Walters, W. H., & Wilder, E. I. (2023). Fabrication and errors in the bibliographic citations generated by ChatGPT. *Scientific Reports*, 13(1), 14045. DOI: 10.1038/s41598-023-41032-5",10.1038/s41598-023-41032-5,crossref,Fabrication and errors in the bibliographic citations generated by ChatGPT,2023,,resolved
T001_W1_CAUTIOUS__deepseek-chat.txt,"Athaluri, S. A., Manthena, S. V., Kesapragada, V. S. R. K., Yarlagadda, V., Dave, T., & Duddumpudi, R. T. S. (2023). Exploring the boundaries of reality: Investigating the phenomenon of artificial int",10.7759/cureus.37432,crossref,Exploring the Boundaries of Reality: Investigating the Phenomenon of Artificial Intelligence Hallucination in Scientific Writing Through ChatGPT References,2023,,resolved
T001_W1_CAUTIOUS__deepseek-chat.txt,"Gravel, J., D’Amours, S., & Gagnon, M. P. (2023). Accuracy of ChatGPT-generated citations in nursing and medical education: A cross-sectional study. *Nurse Education Today*, 128, 105891. DOI: 10.1016/",10.1016/j.nedt.2023.105891,crossref,Perceptions of nursing students about leadership: A qualitative study,2023,,resolved
T001_W1_CAUTIOUS__deepseek-chat.txt,"Spennemann, D. H. R. (2023). ChatGPT and the generation of scholarly references: A cautionary tale. *Journal of Academic Librarianship*, 49(5), 102771. DOI: 10.1016/j.acalib.2023.102771",10.1016/j.acalib.2023.102771,crossref,Evaluation of social media information among college students: An information literacy approach using CCOW,2023,,resolved
T001_W1_CAUTIOUS__deepseek-chat.txt,"Alkaissi, H., & McFarlane, S. I. (2023). Artificial hallucinations in ChatGPT: Implications in scientific writing. *Cureus*, 15(2), e35179. DOI: 10.7759/cureus.35179",10.7759/cureus.35179,crossref,Artificial Hallucinations in ChatGPT: Implications in Scientific Writing,2023,,resolved
T001_W1_CAUTIOUS__deepseek-chat.txt,"Hosseini, M., Rezapour, A., & Karimi, S. (2024). Retrieval-augmented generation for reliable citation in large language models: A case study in biomedical literature. *Journal of Biomedical Informatic",10.1016/j.jbi.2024.104632,unresolved,,,False,unresolved
