workflow,language,pid,citation_number,verification_status,generated_claim,reference_text,support_label,notes
W0_DIRECT,en,T007_W0_DIRECT,10.48550/arXiv.2211.,resolved,,"R. Zhang, H. Wang, and Q. Liu, “Evaluating implicit claims in citation contexts: Challenges and benchmarks,” in *Advances in Neural Information Processing Systems (NeurIPS)*, vol. 35, 2022, pp. 11234–",,
W0_DIRECT,zh,T008_W0_DIRECT,10.7208/chicago/9780,unresolved,,"Merton, R. K. (1973). The sociology of science: Theoretical and empirical investigations. University of Chicago Press. DOI: 10.7208/chicago/9780226924434.001.0001",,
W0_DIRECT,zh,T024_W0_DIRECT,10.18653/v1/N18-3011,resolved,,"Ammar, W., Groeneveld, D., Bhagavatula, C., et al. (2018). Construction of the literature graph in Semantic Scholar. *Proceedings of the 2018 Conference of the North American Chapter of the Associatio",,
W0_DIRECT,en,T015_W0_DIRECT,10.48550/arXiv.2005.,resolved,,"Lewis, P., Perez, E., Piktus, A., Petroni, F., Karpukhin, V., Goyal, N., Küttler, H., Lewis, M., Yih, W., Rocktäschel, T., Riedel, S., & Kiela, D. (2020). Retrieval-Augmented Generation for Knowledge-",,
W0_DIRECT,en,T015_W0_DIRECT,10.48550/arXiv.2309.,resolved,,"Es, S., James, J., Espinosa-Anke, L., & Schockaert, S. (2023). RAGAS: Automated Evaluation of Retrieval Augmented Generation. *arXiv preprint arXiv:2309.15217*. https://doi.org/10.48550/arXiv.2309.152",,
W0_DIRECT,en,T025_W0_DIRECT,10.1609/hcomp.v11i1.,unresolved,,"R. Garcia, ""Human-in-the-Loop Fact-Checking for Automated Writing Assistants,"" in *Proceedings of the AAAI Conference on Human Computation and Crowdsourcing*, 2023, pp. 89–98. DOI: 10.1609/hcomp.v11i1",,
W0_DIRECT,zh,T002_W0_DIRECT,10.1162/tacl_a_00678,resolved,,"Zhao, R., & Kim, S. (2023). Training data inconsistency as a source of citation structure errors in LLMs. *Transactions of the Association for Computational Linguistics*, 11, 234-249. DOI: 10.1162/tac",,
W0_DIRECT,en,T021_W0_DIRECT,10.1007/s11192-024-0,unresolved,,"R. Liu and A. Singh, “Fine-grained metadata features for detecting fabricated references in LLM outputs,” *Scientometrics*, vol. 129, no. 5, pp. 2789–2810, 2024. DOI: 10.1007/s11192-024-05012-3.",,
W0_DIRECT,zh,T028_W0_DIRECT,10.1613/jair.1.14567,unresolved,,"Smith, J., Brown, A., & Taylor, M. (2023). Language effects on factual accuracy in LLM-generated scientific abstracts: A cross-lingual study. *Journal of Artificial Intelligence Research*, 78, 112-134",,
W0_DIRECT,zh,T014_W0_DIRECT,10.7759/cureus.35179,resolved,,"Alkaissi, H., & McFarlane, S. I. (2023). Artificial hallucinations in ChatGPT: Implications in scientific writing. *Cureus*, 15(2), e35179. https://doi.org/10.7759/cureus.35179",,
W0_DIRECT,en,T001_W0_DIRECT,10.31228/osf.io/5q8e,unresolved,,"A. McGowan, Y. Gui, M. Dobbs, S. Shuster, and M. Cotter, “ChatGPT and the law: A study of hallucinated legal citations,” *Journal of Legal Education*, vol. 72, no. 2, pp. 345–368, 2023. DOI: 10.31228/",,
