task_id,domain,language,research_question
T001,LLM factuality,en,How reliable are large language models when asked to provide scholarly citations for academic writing?
T002,LLM factuality,zh,大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？
T003,RAG,en,Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?
T004,RAG,zh,检索增强生成能否减少学术写作中的虚假引用？
T005,Citation verification,en,What automated methods can verify whether a generated citation corresponds to a real scholarly work?
T006,Citation verification,zh,如何自动判断大模型生成的参考文献是否真实存在？
T007,Claim support,en,How can we evaluate whether a cited paper actually supports the claim attributed to it?
T008,Claim support,zh,引用真实存在是否足以说明该引用支撑了论文中的论断？
T009,LLM agents,en,How can multi-agent workflows improve the reliability of AI-assisted research writing?
T010,LLM agents,zh,多智能体工作流如何提升 AI 辅助科研写作的可靠性？
T011,Software engineering,en,What software engineering practices are needed to make LLM-assisted writing workflows reproducible?
T012,Software engineering,zh,面向大模型辅助写作的系统应如何记录可复现的审计日志？
T013,Academic integrity,en,What risks do hallucinated references pose to scholarly publishing and peer review?
T014,Academic integrity,zh,AI 生成的幻觉引用会给学术出版和同行评审带来哪些风险？
T015,RAG evaluation,en,What metrics are commonly used to evaluate retrieval-augmented generation systems?
T016,RAG evaluation,zh,评价 RAG 系统时哪些指标与引用可靠性最相关？
T017,AI for Science,en,How are LLM-based research assistants changing scientific literature review workflows?
T018,AI for Science,zh,大模型科研助手如何改变文献综述和证据综合流程？
T019,Prompting,en,Can explicit uncertainty instructions reduce fabricated references in LLM outputs?
T020,Prompting,zh,提示模型“不确定就不要引用”能否降低虚假引用比例？
T021,Bibliographic metadata,en,Which bibliographic metadata fields are most useful for detecting citation hallucinations?
T022,Bibliographic metadata,zh,作者、标题、年份、DOI 中哪些字段最适合检测幻觉引用？
T023,Open bibliographic data,en,How can Crossref, OpenAlex, Semantic Scholar, and arXiv be used for citation verification?
T024,Open bibliographic data,zh,Crossref、OpenAlex、Semantic Scholar 和 arXiv 如何用于引用核验？
T025,Human-AI workflow,en,How much human effort is required to verify references generated by LLM-assisted writing tools?
T026,Human-AI workflow,zh,人工核验大模型生成引用需要多少成本和时间？
T027,Chinese academic writing,en,Do Chinese prompts and English prompts lead to different citation reliability in LLM-assisted writing?
T028,Chinese academic writing,zh,中文提示和英文提示在生成学术引用时是否存在可靠性差异？
T029,Repair workflow,en,Can a verify-and-repair loop convert invalid LLM-generated references into valid references?
T030,Repair workflow,zh,自动核验与修复循环能否提升大模型生成参考文献的可用率？

